food_name,calories_per_100g_kcal,fat_per_100g_g,cholesterol_per_100g_mg,protein_per_100g_g,carbohydrate_per_100g_g,fiber_per_100g_g,sugar_per_100g_g,sodium_per_100g_mg,kalium_per_100g_mg,detail_url,instance_weight_g
Telur Ceplok,201.0,15.31,457.0,13.63,0.88,0.0,0.83,204.0,147.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur-ceplok?portionid=56528&portionamount=100,000",0
Telur Puyuh,158.0,11.09,844.0,13.05,0.41,0.0,0.41,141.0,132.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur-puyuh?portionid=56540&portionamount=100,000",0
Ayam Rendang,199.0,11.18,48.0,19.27,6.05,2.5,1.56,274.0,308.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-rendang?portionid=65146756&portionamount=100,000",0
Jengkol,151.0,0.5,0.0,14.26,23.54,4.2,2.71,19.0,437.0,https://www.fatsecret.co.id/kalori-gizi/umum/jengkol,0
Semur Tahu,142.0,4.87,0.0,3.59,21.8,0.6,12.8,569.0,173.0,"https://www.fatsecret.co.id/kalori-gizi/umum/semur-tahu?portionid=53455520&portionamount=100,000",0
Semur Daging,141.0,8.0,40.0,12.7,4.34,0.7,1.63,370.0,269.0,https://www.fatsecret.co.id/kalori-gizi/umum/semur-daging,0
Paru Sapi Goreng,484.0,36.5,48.0,39.61,0.62,0.1,0.32,356.0,42.0,https://www.fatsecret.co.id/kalori-gizi/umum/paru-sapi-goreng,0
Babat Sapi,94.0,4.05,157.0,11.71,1.99,0.0,0.0,68.0,42.0,https://www.fatsecret.co.id/kalori-gizi/umum/babat-sapi,0
Kikil,100.0,4.53,28.0,10.88,4.16,0.7,0.26,207.0,267.0,https://www.fatsecret.co.id/kalori-gizi/umum/kikil,0
Gulai Kambing,125.0,9.6,12.0,4.71,6.44,1.0,3.1,163.0,173.0,https://www.fatsecret.co.id/kalori-gizi/umum/gulai-kambing,0
Soto Betawi,135.0,8.85,7.0,4.05,11.44,1.3,1.43,194.0,272.0,https://www.fatsecret.co.id/kalori-gizi/umum/soto-betawi,0
Iga Sapi,254.0,19.06,70.0,19.33,0.0,0.0,0.0,49.0,295.0,https://www.fatsecret.co.id/kalori-gizi/umum/iga-sapi-(potongan-kecil-diiris-hingga-03-cm-lemak),0
Sup Ayam,31.0,1.02,3.0,1.68,3.88,0.3,0.11,459.0,23.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sup-ayam?portionid=51693&portionamount=100,000",0
Perkedel Kentang,143.0,7.46,50.0,3.05,16.52,1.5,0.83,204.0,322.0,"https://www.fatsecret.co.id/kalori-gizi/umum/perkedel-kentang?portionid=4969190&portionamount=100,000",0
Perkedel Jagung,260.0,15.44,82.0,5.33,27.01,2.8,3.29,335.0,203.0,"https://www.fatsecret.co.id/kalori-gizi/umum/perkedel-jagung?portionid=5702748&portionamount=100,000",0
Martabak Manis,300.0,12.57,73.0,7.78,41.52,2.0,22.47,250.0,185.0,"http://fatsecret.co.id/kalori-gizi/umum/martabak-manis?portionid=11000827&portionamount=100,000",0
